,placeID,Rcuisine,userID,rating,food_rating,service_rating
0,135109,Italian,U1030,0,0,0
1,135109,Italian,U1020,2,2,1
2,135109,Italian,U1051,1,1,1
3,135109,Italian,U1041,1,2,1
4,135106,Mexican,U1055,2,2,2
5,135106,Mexican,U1126,2,2,2
6,135106,Mexican,U1024,1,1,1
7,135106,Mexican,U1004,2,2,2
8,135106,Mexican,U1106,0,0,0
9,135106,Mexican,U1016,2,2,2
10,135106,Mexican,U1101,0,0,0
11,135106,Mexican,U1135,0,0,0
12,135106,Mexican,U1078,2,2,2
13,135106,Mexican,U1002,1,1,1
14,135104,Mexican,U1068,1,1,2
15,135104,Mexican,U1067,0,0,0
16,135104,Mexican,U1103,1,2,0
17,135104,Mexican,U1123,2,2,2
18,135104,Mexican,U1063,1,2,1
19,135104,Mexican,U1028,0,1,0
20,135104,Mexican,U1087,1,2,1
21,135088,Cafeteria,U1044,2,2,2
22,135088,Cafeteria,U1030,1,0,1
23,135088,Cafeteria,U1072,0,1,0
24,135088,Cafeteria,U1117,1,1,2
25,135088,Cafeteria,U1020,1,2,0
26,135088,Cafeteria,U1051,1,1,1
27,135086,Burgers,U1108,1,1,0
28,135086,Burgers,U1034,1,1,1
29,135086,Burgers,U1095,1,2,1
30,135086,Burgers,U1007,0,0,0
31,135086,Burgers,U1091,1,1,1
32,135086,Burgers,U1019,0,0,0
33,135086,Burgers,U1061,1,1,2
34,135086,Burgers,U1112,0,0,0
35,135086,Burgers,U1096,1,0,2
36,135086,Burgers,U1097,2,0,1
37,135086,Fast_Food,U1108,1,1,0
38,135086,Fast_Food,U1034,1,1,1
39,135086,Fast_Food,U1095,1,2,1
40,135086,Fast_Food,U1007,0,0,0
41,135086,Fast_Food,U1091,1,1,1
42,135086,Fast_Food,U1019,0,0,0
43,135086,Fast_Food,U1061,1,1,2
44,135086,Fast_Food,U1112,0,0,0
45,135086,Fast_Food,U1096,1,0,2
46,135086,Fast_Food,U1097,2,0,1
47,135085,Fast_Food,U1077,2,2,2
48,135085,Fast_Food,U1108,1,2,1
49,135085,Fast_Food,U1081,1,2,1
50,135085,Fast_Food,U1056,2,2,2
51,135085,Fast_Food,U1134,2,1,2
52,135085,Fast_Food,U1116,2,2,2
53,135085,Fast_Food,U1132,2,2,2
54,135085,Fast_Food,U1120,0,0,0
55,135085,Fast_Food,U1036,2,2,2
56,135085,Fast_Food,U1084,2,2,2
57,135085,Fast_Food,U1113,1,2,1
58,135085,Fast_Food,U1104,2,2,1
59,135085,Fast_Food,U1106,2,2,2
60,135085,Fast_Food,U1045,2,2,2
61,135085,Fast_Food,U1016,2,2,0
62,135085,Fast_Food,U1007,1,2,0
63,135085,Fast_Food,U1013,1,2,0
64,135085,Fast_Food,U1001,0,1,1
65,135085,Fast_Food,U1135,0,0,0
66,135085,Fast_Food,U1032,1,1,1
67,135085,Fast_Food,U1062,0,0,0
68,135085,Fast_Food,U1092,0,0,0
69,135085,Fast_Food,U1109,2,2,2
70,135085,Fast_Food,U1122,2,2,1
71,135085,Fast_Food,U1098,1,2,1
72,135085,Fast_Food,U1033,2,2,2
73,135085,Fast_Food,U1089,1,1,1
74,135085,Fast_Food,U1027,1,1,1
75,135085,Fast_Food,U1029,1,1,1
76,135085,Fast_Food,U1086,2,1,1
77,135085,Fast_Food,U1137,2,1,2
78,135085,Fast_Food,U1046,1,2,1
79,135085,Fast_Food,U1090,2,2,2
80,135085,Fast_Food,U1059,2,2,2
81,135085,Fast_Food,U1049,0,0,0
82,135085,Fast_Food,U1002,1,1,1
83,135079,Chinese,U1134,1,1,2
84,135079,Chinese,U1036,2,2,2
85,135079,Chinese,U1113,1,2,1
86,135079,Chinese,U1106,2,2,2
87,135079,Chinese,U1009,1,2,2
88,135079,Chinese,U1013,1,1,1
89,135079,Chinese,U1032,2,2,0
90,135079,Chinese,U1019,0,0,0
91,135079,Chinese,U1122,2,2,2
92,135079,Chinese,U1098,2,1,1
93,135079,Chinese,U1089,0,0,0
94,135079,Chinese,U1003,2,2,2
95,135079,Chinese,U1112,1,0,0
96,135079,Chinese,U1097,2,1,0
97,135079,Chinese,U1128,0,0,0
98,135079,Chinese,U1006,1,1,1
99,135079,Chinese,U1010,0,0,0
100,135075,Seafood,U1108,2,2,2
101,135075,Seafood,U1055,2,2,2
102,135075,Seafood,U1134,2,1,1
103,135075,Seafood,U1033,2,1,0
104,135075,Seafood,U1003,2,2,2
105,135075,Seafood,U1091,2,2,2
106,135075,Seafood,U1137,2,2,2
107,135075,Seafood,U1061,2,2,2
108,135075,Seafood,U1013,2,2,1
109,135075,Seafood,U1059,2,2,1
110,135075,Seafood,U1057,0,1,1
111,135075,Seafood,U1006,1,1,2
112,135075,Seafood,U1096,1,2,1
113,135074,Contemporary,U1108,2,2,1
114,135074,Contemporary,U1083,2,2,2
115,135074,Contemporary,U1134,2,2,2
116,135074,Contemporary,U1136,1,1,2
117,135073,Bar,U1076,2,1,1
118,135073,Bar,U1022,2,2,2
119,135073,Bar,U1024,1,2,0
120,135073,Bar,U1101,1,1,1
121,135073,Bar_Pub_Brewery,U1076,2,1,1
122,135073,Bar_Pub_Brewery,U1022,2,2,2
123,135073,Bar_Pub_Brewery,U1024,1,2,0
124,135073,Bar_Pub_Brewery,U1101,1,1,1
125,135072,Japanese,U1083,1,2,2
126,135072,Japanese,U1084,2,2,2
127,135072,Japanese,U1095,2,2,2
128,135072,Japanese,U1013,2,1,1
129,135072,Japanese,U1089,1,1,1
130,135072,Japanese,U1114,0,0,0
131,135072,Japanese,U1096,1,2,1
132,135072,Japanese,U1136,1,1,1
133,135071,Bar,U1015,0,0,0
134,135071,Bar,U1088,0,0,0
135,135071,Bar,U1124,1,0,1
136,135071,Bar,U1094,0,1,0
137,135071,Bar,U1115,2,2,2
138,135071,Bar,U1111,2,2,2
139,135071,Bar,U1037,1,0,0
140,135071,Bar,U1092,1,0,0
141,135071,Bar,U1025,2,2,2
142,135071,Bar_Pub_Brewery,U1015,0,0,0
143,135071,Bar_Pub_Brewery,U1088,0,0,0
144,135071,Bar_Pub_Brewery,U1124,1,0,1
145,135071,Bar_Pub_Brewery,U1094,0,1,0
146,135071,Bar_Pub_Brewery,U1115,2,2,2
147,135071,Bar_Pub_Brewery,U1111,2,2,2
148,135071,Bar_Pub_Brewery,U1037,1,0,0
149,135071,Bar_Pub_Brewery,U1092,1,0,0
150,135071,Bar_Pub_Brewery,U1025,2,2,2
151,135069,Bar,U1081,1,0,1
152,135069,Bar,U1064,0,0,1
